,speaker,season,word_count,total_word_count_season,norm_word_count
120,Meredith,8,672,73284,0.00916980514164074
121,Nellie,8,3175,73284,0.04332460018557939
122,Oscar,8,2138,73284,0.029174171715517713
123,Pam,8,4114,73284,0.05613776540581846
124,Phyllis,8,893,73284,0.012185470225424376
125,Robert,8,6164,73284,0.08411112930516894
126,Ryan,8,2376,73284,0.03242181103651547
127,Stanley,8,1063,73284,0.014505212597565636
128,Toby,8,1178,73284,0.016074450084602367
129,Andy,9,9009,67483,0.1335002889616644
130,Angela,9,3409,67483,0.05051642635923121
131,Creed,9,660,67483,0.009780240949572486
132,Darryl,9,2705,67483,0.0400841693463539
133,David,9,192,67483,0.0028451610035119955
134,Dwight,9,15117,67483,0.22401197338588977
135,Erin,9,4020,67483,0.059570558511032407
136,Gabe,9,233,67483,0.003452721426136953
137,Jan,9,302,67483,0.004475201161774077
138,Jim,9,8843,67483,0.131040410177378
139,Kelly,9,162,67483,0.0024006045967132463
140,Kevin,9,2453,67483,0.036349895529244405
141,Meredith,9,1068,67483,0.015826208082035477
142,Michael,9,22,67483,0.0003260080316524162
143,Nellie,9,3892,67483,0.05767378450869108
144,Oscar,9,3182,67483,0.04715261621445401
145,Pam,9,8342,67483,0.12361631818383889
146,Phyllis,9,1172,67483,0.017367336958937808
147,Robert,9,171,67483,0.0025339715187528713
148,Roy,9,147,67483,0.0021783263933138714
149,Ryan,9,201,67483,0.0029785279255516205
150,Stanley,9,874,67483,0.012951409984736897
151,Toby,9,1307,67483,0.01936784078953218
152,Angela,1,278,23562,0.011798658857482387
153,Darryl,1,110,23562,0.004668534080298786
154,Dwight,1,3677,23562,0.1560563619387149
155,Jan,1,352,23562,0.014939309056956116
156,Jim,1,2975,23562,0.12626262626262627
157,Kelly,1,21,23562,0.00089126559714795
158,Kevin,1,200,23562,0.008488243782361429
159,Meredith,1,191,23562,0.008106272812155165
160,Michael,1,13031,23562,0.553051523639759
161,Oscar,1,420,23562,0.017825311942959002
162,Pam,1,1434,23562,0.06086070791953145
163,Phyllis,1,75,23562,0.003183091418385536
164,Roy,1,225,23562,0.009549274255156608
165,Ryan,1,329,23562,0.013963161021984551
166,Stanley,1,152,23562,0.006451065274594686
167,Toby,1,92,23562,0.0039045921398862577
168,Angela,2,1228,79459,0.015454511131526951
169,Creed,2,653,79459,0.008218074730364087
170,Darryl,2,611,79459,0.007689500245409583
171,David,2,111,79459,0.0013969468530940486
172,Dwight,2,11982,79459,0.15079474949344945
173,Jan,2,2725,79459,0.03429441598811966
174,Jim,2,9057,79459,0.11398331214840358
175,Kelly,2,1405,79459,0.01768207503240665
176,Kevin,2,1099,79459,0.013831032356309543
177,Meredith,2,308,79459,0.0038762128896663688
178,Michael,2,37246,79459,0.46874488730036873
179,Oscar,2,1086,79459,0.01366742596810934
180,Pam,2,6456,79459,0.08124944940157817
181,Phyllis,2,815,79459,0.01025686202947432
182,Roy,2,896,79459,0.011276255679029436
183,Ryan,2,1633,79459,0.020551479379302535
184,Stanley,2,791,79459,0.009954819466643174
185,Toby,2,1357,79459,0.01707798990674436
