,speaker,season,id_episode,word_count_id_episode,total_word_count_id_episode,n_word_count_id_episode,line_count_id_episode,total_line_count_id_episode,n_line_count_id_episode,word_count_season,total_word_count_season,n_word_count_season,line_count_season,total_line_count_season,n_line_count_season,word_count_all,total_word_series,n_word_count_all,line_count_all,total_line_series,n_line_count_all
0,Michael,1,0101,2038,3806,0.535470310036784,100,268,0.373134328358209,13031,23562,0.553051523639759,667,1862,0.3582169709989259,188905,631561,0.29910808298802494,12522,55458,0.22579249161527642
1,Michael,1,0102,2604,3785,0.6879788639365918,107,249,0.42971887550200805,13031,23562,0.553051523639759,667,1862,0.3582169709989259,188905,631561,0.29910808298802494,12522,55458,0.22579249161527642
2,Michael,1,0103,1693,4101,0.412826139965862,73,325,0.2246153846153846,13031,23562,0.553051523639759,667,1862,0.3582169709989259,188905,631561,0.29910808298802494,12522,55458,0.22579249161527642
3,Michael,1,0104,2467,4753,0.5190406059330949,115,366,0.31420765027322406,13031,23562,0.553051523639759,667,1862,0.3582169709989259,188905,631561,0.29910808298802494,12522,55458,0.22579249161527642
4,Michael,1,0105,2340,3420,0.6842105263157895,144,293,0.49146757679180886,13031,23562,0.553051523639759,667,1862,0.3582169709989259,188905,631561,0.29910808298802494,12522,55458,0.22579249161527642
5,Michael,1,0106,1889,3697,0.5109548282391128,128,361,0.3545706371191136,13031,23562,0.553051523639759,667,1862,0.3582169709989259,188905,631561,0.29910808298802494,12522,55458,0.22579249161527642
6,Michael,2,0201,2263,4407,0.5135012480145223,141,385,0.36623376623376624,37246,79459,0.46874488730036873,2405,7006,0.3432771909791607,188905,631561,0.29910808298802494,12522,55458,0.22579249161527642
7,Michael,2,0202,1938,3241,0.5979635914841098,117,275,0.4254545454545455,37246,79459,0.46874488730036873,2405,7006,0.3432771909791607,188905,631561,0.29910808298802494,12522,55458,0.22579249161527642
8,Michael,2,0203,1549,3666,0.42253136933988,120,379,0.316622691292876,37246,79459,0.46874488730036873,2405,7006,0.3432771909791607,188905,631561,0.29910808298802494,12522,55458,0.22579249161527642
9,Michael,2,0204,1314,3818,0.34415924567836564,82,374,0.2192513368983957,37246,79459,0.46874488730036873,2405,7006,0.3432771909791607,188905,631561,0.29910808298802494,12522,55458,0.22579249161527642
10,Michael,2,0205,1878,3727,0.5038905285752616,151,335,0.4507462686567164,37246,79459,0.46874488730036873,2405,7006,0.3432771909791607,188905,631561,0.29910808298802494,12522,55458,0.22579249161527642
11,Michael,2,0206,1459,3153,0.4627339042182049,105,313,0.3354632587859425,37246,79459,0.46874488730036873,2405,7006,0.3432771909791607,188905,631561,0.29910808298802494,12522,55458,0.22579249161527642
12,Michael,2,0207,1586,3561,0.4453805110923898,88,290,0.30344827586206896,37246,79459,0.46874488730036873,2405,7006,0.3432771909791607,188905,631561,0.29910808298802494,12522,55458,0.22579249161527642
13,Michael,2,0208,2239,4801,0.46636117475525934,151,409,0.3691931540342298,37246,79459,0.46874488730036873,2405,7006,0.3432771909791607,188905,631561,0.29910808298802494,12522,55458,0.22579249161527642
14,Michael,2,0209,2350,4405,0.5334846765039728,138,353,0.3909348441926346,37246,79459,0.46874488730036873,2405,7006,0.3432771909791607,188905,631561,0.29910808298802494,12522,55458,0.22579249161527642
15,Michael,2,0210,1543,3672,0.42020697167755994,99,337,0.29376854599406527,37246,79459,0.46874488730036873,2405,7006,0.3432771909791607,188905,631561,0.29910808298802494,12522,55458,0.22579249161527642
16,Michael,2,0211,1790,3213,0.5571117335823218,119,288,0.4131944444444444,37246,79459,0.46874488730036873,2405,7006,0.3432771909791607,188905,631561,0.29910808298802494,12522,55458,0.22579249161527642
17,Michael,2,0212,1972,3510,0.5618233618233618,150,388,0.3865979381443299,37246,79459,0.46874488730036873,2405,7006,0.3432771909791607,188905,631561,0.29910808298802494,12522,55458,0.22579249161527642
18,Michael,2,0213,1371,3343,0.41011067903081067,118,315,0.3746031746031746,37246,79459,0.46874488730036873,2405,7006,0.3432771909791607,188905,631561,0.29910808298802494,12522,55458,0.22579249161527642
19,Michael,2,0214,1858,3769,0.492968957283099,127,324,0.39197530864197533,37246,79459,0.46874488730036873,2405,7006,0.3432771909791607,188905,631561,0.29910808298802494,12522,55458,0.22579249161527642
20,Michael,2,0215,1239,3394,0.3650559811431939,91,301,0.3023255813953488,37246,79459,0.46874488730036873,2405,7006,0.3432771909791607,188905,631561,0.29910808298802494,12522,55458,0.22579249161527642
21,Michael,2,0216,1574,3122,0.50416399743754,58,221,0.26244343891402716,37246,79459,0.46874488730036873,2405,7006,0.3432771909791607,188905,631561,0.29910808298802494,12522,55458,0.22579249161527642
22,Michael,2,0217,1752,3675,0.476734693877551,80,257,0.311284046692607,37246,79459,0.46874488730036873,2405,7006,0.3432771909791607,188905,631561,0.29910808298802494,12522,55458,0.22579249161527642
23,Michael,2,0218,1259,2731,0.46100329549615526,82,238,0.3445378151260504,37246,79459,0.46874488730036873,2405,7006,0.3432771909791607,188905,631561,0.29910808298802494,12522,55458,0.22579249161527642
24,Michael,2,0219,1409,2736,0.514985380116959,100,265,0.37735849056603776,37246,79459,0.46874488730036873,2405,7006,0.3432771909791607,188905,631561,0.29910808298802494,12522,55458,0.22579249161527642
25,Michael,2,0220,1343,3762,0.35699096225412014,65,282,0.23049645390070922,37246,79459,0.46874488730036873,2405,7006,0.3432771909791607,188905,631561,0.29910808298802494,12522,55458,0.22579249161527642
